Column 1	Column 2 1	Column 2 2	Column 2 3	Column 2 4	Column 2 5	Column 2 6
53	by Virginia Woolf					
53	by Leslie A. Fiedler					
53	by Tom Scott					
53	by Dazai Osamu					
53	by Christopher Isherwood					
53	by Alberto de Lacerda					
53	by Dr.Edith Sitwell					
53	by Denis de Rougemont					
53	by C. Day Lewis					
53	by Albert Camus					
53	by Nicolas Nabokov					
53	by Nathan Glazer					
53	by Irving Kristol					
53	by Stephen Spender					
53	by Mark Alexander					
53	by J.K. Galbraith					
53	by Hugh Seton-Watson					
53	by Nicola Chiaromonte					
53	by Melvin J. Lasky					
53	by W.H. Auden					
53	by W.B. Yeats					
53	by Arthur Koestler					
53	by Herbert Luthy					
53	by Michael Hamburger					
53	by Raymond Rosenthal					
53	by Rose Macaulay					
53	by Raja Rao					
53	by Frances Cornford					
53	by Herbert Read					
53	by Stephen Spender					
53	by Norbert Muhlen					
53	by David Wright					
53	by Eric da Costa					
53	by Bertrand Russell					
53	by Arthur Schlesinger					
53	by Robert Gorham Davis					
53	by Golo Mann					
53	by Stephen Spender					
53	by Robert Graves					
53	Woodrow Wyatt					
53	G.F. Hudson					
53	by Arthur Waley					
53	by D.H. Lawrence					
53	by J. Maclaren-Ross					
53	by Geoffrey Gorer					
53	by Chester Kallman					
53	by Melvin J. Lasky					
53	by Harold Rosenberg					
53	by Dr.Sampurnanand					
53	by W.H. Auden					
53	by Max Beloff					
53	by Humphrey Searle					
54	by Irving Kristol					
54	by Wilfred Noyce					
54	Daniel Jones					
54	Theodore Roethke					
54	Louis MacNeice					
54	Marjorie Adix					
54	George Barker					
54	by Rita Hinden					
54	by Wyndham Lewis					
54	by Elizabeth Jennings					
54	by W.S. Graham					
54	by Alec Waugh					
54	by W.H. Auden					
54	by F.R. Allemann					
54	by Francois Bondy					
54	by Herbert Luthy					
54	by Franz Borkenau					
54	by Robert Conquest					
54	by Asoka Mehta	 Philip Spratt	 Ignazio Silone			
54	by John Morris					
54	by V. Sackville-West					
54	by Alison Blair					
54	by Stephen Spender					
54	by Irving Kristol					
54	by Aldous Huxley					
54	by Sydney Goodsir Smith					
54	by Silvio D'Arzo					
54	by Herbert Luthy					
54	by Edmund Blunden					
54	by Mary McCarthy					
54	by Alan Ross					
54	by Eric da Costa					
54	by Frances Cornford					
54	by Christopher Hollis	 Geoffrey Minish	 J.M. Lebrecht-Ellis	 B.A. Young		
54	by C.V. Wedgwood					
54	by W.H. Auden					
54	by Franz Borkenau					
54	by M.C. D'Arcy					
54	by Stephen Spender					
54	by J.R. Ackerley					
54	by Theodore Roethke					
54	by Robert Warshow					
54	by David Sylvester					
54	by Albert Camus					
54	by Colin Clark					
54	by William Sansom					
54	by Alan Ross					
54	by Deben Bhattacharya					
54	by Marianne Moore					
