Column 1	Column 2 1	Column 2 2	Column 2 3	Column 2 4
69	by Alan Sillitoe			
69	by P.B. Medawar			
69	by Nigel Dennis			
69	by Robert Skidelsky			
69	by Melvin J. Lasky			
69	by Nicholas Snowden Willey			
69	by Nefastus Dies			
69	by Stephen Toulmin			
69	by John Weightman			
69	by Christopher Driver			
69	by Goronwy Rees			
69	by David Rees			
69	by Richard Lowenthal			
69	by Pavel X			
69	by Nadine Gordimer			
69	by Gordon H. Dyson			
69	by Andrew Shonfield			
69	by D.J. Enright			
69	by Barry Daniels			
69	by Iain Hamilton			
69	by Warwick Collins			
69	by Nefastus Dies			
69	by Henry Pleasants			
69	by John Weightman			
69	by Gunter Zehm			
69	by Marcus Cunliffe			
69	by Colin MacInnes			
69	by Ronald Hayman			
69	by Richard Lowenthal			
69	by Edward J. Mishan			
69	by D.M. Thomas			
69	by Anna Kavan			
69	by D.M. Thomas			
69	by Anthony Hartley			
69	by Henry Miller			
69	by Nicholas Snowden Willey			
69	by Nefastus Dies			
69	by Maurice Cranston			
69	by Richard Stern			
69	by Karl Popper			
69	by Dieter E. Zimmer			
69	by Kenneth Allsop			
69	by Goronwy Rees			
69	by Leo Labedz			
69	by D.W. Brogan			
69	byrinths			
69	by Jorge Luis Borges			
69	by Jorge Luis Borges			
69	by Norman Thomas di Giovanni			
69	by Jorge Luis Borges			
69	by Jorge Luis Borges			
69	by David Marquand			
69	by Nefastus Dies			
69	by Goronwy Rees			
69	by Max Beloff			
69	by Erwin Scheuch			
69	by Bernd Nellessen			
69	by David Lodge			
69	by Rudolf Klein			
69	by Alasdair MacIntyre			
69	by Stanley Karnow			
69	by Heinrich Boll			
69	by Arnold Beichman			
69	by Edward Shils			
69	by Nefastus Dies			
69	by John Weightman			
69	by Michael Beloff			
69	by Stuart Maclure			
69	by Richard Bourne			
69	by Brian Jackson			
69	by Tyrrell Burgess			
69	by C.B. Cox			
69	by A.H. Halsey			
69	by David Astor			
69	by Millicent G. Dillon			
69	by C.H. Rolph			
69	by Harry Levin			
69	by John Weightman			
69	by Barbara Coudenhove			
69	by Colin Welch			
69	by Robert Conquest			
69	by Stanley Henig			
69	by Charles Barlow			
69	by Richard Mayne			
69	by Jean-Francois Revel			
69	by D.W. Brogan			
69	by Colin Wilson			
69	by Desmond Stewart			
69	by George Seferis			
69	by John Weightman			
69	by V.S. Pritchett			
69	by Vernon Scannell			
69	by Nigel Dennis			
69	by Clifford Geertz			
69	by Kweku Folson			
69	by Donald Tyerman			
69	by Walter Kaufmann			
69	by Anthony Burgess			
69	by Maurice Cranston			
69	by Hugh Seton-Watson			
69	by Luigi Barzini			
69	by John Holloway	 P.B. Medawar		
69	by Emyr Humphreys			
69	by D. H. Lawrence			
69	by George Steiner			
69	by Vernon Scannell			
69	by Ben Morreale			
69	by Inge Santner			
69	R.			
69	by John Weightman			
69	by Graeme Wilson			
69	by Raymond Aron			
69	by John Wain			
69	by David Martin			
69	by Goronwy Rees			
69	by Ibn el-Assal			
69	by F.R. Allemann			
69	by J.G. Ballard			
69	by J. Lavery			
69	by D.J. Enright			
69	by Lyman Andrews			
69	by Nicholas Snowden Willey			
69	by Wes Magee			
69	by Keith Bosley			
69	by Warwick Collins			
69	by Emyr Humphreys			
69	by Bruno Bettelheim			
69	R.			
69	by George Woodcock			
69	by John Weightman			
69	by Louis J. Halle			
69	by T.W. Adorno			
69	by John P. MacKintosh			
69	by Rayner Heppenstall			
69	by Robert Skidelsky			
69	by Paul Roazen			
69	by Anna Kavan			
69	by Melvin J. Lasky			
69	R.			
69	by John Weightman			
69	by Petra Kipphoff			
69	by David Riesman			
69	by Max Beloff			
69	by Maurice Ashley			
69	by D.W. Brogan			
69	by Leonard Schapiro			
69	by Asa Briggs			
69	by Z.A.B. Zeman			
69	by Walter Z. Laqueur			
69	by Peter Fryer			
69	by Donald Davie			
69	by Richard Mayne			
69	by Nikola Sop			
69	by Raymond Fletcher			
69	by Brian Aldiss			
69	by Richard Lowenthal			
69	by Max Beloff			
69	R.			
69	by John Weightman			
69	by Viktor E. Frankl			
69	by Kathleen Nott			
69	by Robert Pocock			
69	by John Wain			
69	by Anthony Storr	 P.B. Medawar		
69	by Edward J. Mishan			
69	by Dennis Silk			
69	by Golo Mann			
69	by Ono Tosaburo			
69	by Seymour Martin Lipset			
69	by John Mander			
69	R.			
69	by D.M. Thomas			
69	by John Weightman			
69	by Francois Bondy			
69	by Lionel Tiger			
69	by Erich Heller			
69	by Norman Macrae			
69	by Richard Young	 Nathan Glazer		
69	by George Mikes			
69	by Anonymous			
70	by John Mander			
70	by Harold Orlans			
70	by Lyman Andrews			
70	by Marcus Cunliffe			
70	by Gunter Eich			
70	by James Morris			
70	by Glyn Hughes			
70	by John Weightman			
70	by Patric Dickinson			
70	by Nicholas Snowden Willey			
70	by Anthony Burgess			
70	by Thomas S. Kuhn			
70	by Harry G. Johnson			
70	by Jeremy Robson			
70	by Louis J. Halle			
70	by Christopher Sykes			
